"filename", "language", "Markdown", "GDScript", "comment", "blank", "total"
"d:\IdeaProjects\-qsz\.trae\rules\project_rules.md", "Markdown", 1, 0, 0, 0, 1
"d:\IdeaProjects\-qsz\config\setting_level_up.gd", "GDScript", 0, -144, 0, 0, -144
"d:\IdeaProjects\-qsz\monster\smile_king.gd", "GDScript", 0, 248, 56, 72, 376
"d:\IdeaProjects\-qsz\system\study_layer.gd", "GDScript", 0, 0, -1, 0, -1
"d:\IdeaProjects\-qsz\util\README_warn_circle.md", "Markdown", 0, 0, 0, -5, -5
"Total", "-", 1, 104, 55, 67, 227
