"filename", "language", "Asset Properties Definition", "GDScript", "Markdown", "GDScene", "XML", "comment", "blank", "total"
"d:\IdeaProjects\-qsz\config\ringFire.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\riyan.gd", "GDScript", 0, 45, 0, 0, 0, 6, 17, 68
"d:\IdeaProjects\-qsz\config\riyan.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\setting_buff.gd", "GDScript", 0, 32, 0, 0, 0, 84, 19, 135
"d:\IdeaProjects\-qsz\config\setting_buff.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\setting_emblem.gd", "GDScript", 0, 96, 0, 0, 0, 15, 17, 128
"d:\IdeaProjects\-qsz\config\setting_emblem.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\setting_level_up.gd", "GDScript", 0, 1469, 0, 0, 0, 84, 343, 1896
"d:\IdeaProjects\-qsz\config\setting_level_up.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\setting_moster.gd", "GDScript", 0, 73, 0, 0, 0, 2, 10, 85
"d:\IdeaProjects\-qsz\config\setting_moster.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\skill_effects.gd", "GDScript", 0, 187, 0, 0, 0, 31, 39, 257
"d:\IdeaProjects\-qsz\config\skill_effects.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\skill_hotkey_config.gd", "GDScript", 0, 226, 0, 0, 0, 49, 72, 347
"d:\IdeaProjects\-qsz\config\skill_hotkey_config.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\summon.gd", "GDScript", 0, 260, 0, 0, 0, 44, 50, 354
"d:\IdeaProjects\-qsz\config\summon.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\cultivation.gd", "GDScript", 0, 224, 0, 0, 0, 31, 44, 299
"d:\IdeaProjects\-qsz\cultivation.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\dialog\dialog_manager.gd", "GDScript", 0, 335, 0, 0, 0, 54, 68, 457
"d:\IdeaProjects\-qsz\dialog\dialog_manager.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\global.gd", "GDScript", 0, 353, 0, 0, 0, 68, 87, 508
"d:\IdeaProjects\-qsz\global.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\loading.gd", "GDScript", 0, 19, 0, 0, 0, 0, 4, 23
"d:\IdeaProjects\-qsz\loading.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\menu.gd", "GDScript", 0, 509, 0, 0, 0, 21, 110, 640
"d:\IdeaProjects\-qsz\menu.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\monster\bat.gd", "GDScript", 0, 172, 0, 0, 0, 18, 41, 231
"d:\IdeaProjects\-qsz\monster\bat.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\monster\bigSlime.gd", "GDScript", 0, 132, 0, 0, 0, 10, 31, 173
"d:\IdeaProjects\-qsz\monster\bigSlime.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\monster\boss_a.gd", "GDScript", 0, 738, 0, 0, 0, 127, 197, 1062
"d:\IdeaProjects\-qsz\monster\boss_a.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\monster\frog.gd", "GDScript", 0, 237, 0, 0, 0, 37, 46, 320
"d:\IdeaProjects\-qsz\monster\frog.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\monster\peach_yao.gd", "GDScript", 0, 154, 0, 0, 0, 14, 38, 206
"d:\IdeaProjects\-qsz\monster\peach_yao.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\monster\slime.gd", "GDScript", 0, 171, 0, 0, 0, 19, 36, 226
